station,index
in_2002,0
in_2005,1
in_2007,2
in_2008,3
in_2009,4
in_2011,5
in_2012,6
in_101001,7
in_101007,8
in_102004,9
in_102005,10
in_106006,11
in_106007,12
out_2002,13
out_2005,14
out_2007,15
out_2008,16
out_2009,17
out_2011,18
out_2012,19
out_101001,20
out_101007,21
out_102004,22
out_102005,23
out_106006,24
out_106007,25
G008564001000310010,26
G008564001000320010,27
G008564001000210010,28
G008564001000220010,29
G002064001000410010,30
G002064001000420010,31
G002064001000320010,32
G002064001000310010,33
G002064001000210010,34
G002064001000220010,35
G000664001001610010,36
G000664001001620010,37
G000664001001510010,38
G000664001001520010,39
G000664001004110010,40
G000664001004120010,41
G000664001001410010,42
G000664001001420010,43
G000664001001310010,44
G000664001001320010,45
G000664001004010010,46
G000664001004020010,47
G000664001003910010,48
G000664001003920010,49
G000664001001210010,50
G000664001001220010,51
G000664001000910010,52
G000664001000920010,53
G000664001000820010,54
G000664001000810010,55
G000664001003810010,56
G000664001003820010,57
G000664001001720010,58
G000664001001710010,59
G000664001000720010,60
G000664001000710010,61
G008564001000410010,62
G008564001000420010,63
G002064001000520010,64
G002064001000510010,65